,FCR,Self-Sufficiency,Region,Company,PV Size,Battery Capacity,Max Power,Energy Efficiency,Total PV production during period,Total electricity cost base case,Total electricity cost with PV,Total electricity cost with PV and battery,Electricity cost/kWh base case,Electricity cost/kWh with PV,Electricity cost/kWh with PV and battery,€ % drop/kWh,Savings from PV during period,Savings from battery during period,Savings from (PV and) battery during period,Savings from reduced power contract fee,Payback Time PV,Payback Time battery,Payback Time (PV and) battery,Total demand (kWh),Self-sufficiency (SSR only PV %),Self-sufficiency (SSR %),Self-consumption (%),Number of Cycles in period,Time below 20% SoC (%),Time above 80% SoC (%),€ saved per passed kWh,PV investment (EUR),CO2 avoided of the grid electricy mix [CO2eq],Battery investment (EUR),Total Investment (EUR),Battery Capacity Price (EUR/kWh),Battery Power Price (EUR/kWh),PV Price (EUR/kW),Total FCR revenue (EUR),FCR% of saving,peak% of saving,start_time,end_time,demand_data_used:,length of simulation,%time_SoC_20%-80%,config_id,year_offset,ss_cost_import,ss_cost_export,enable_all
0,On,Import 0.0 and export 0.0,SE3,041. Siriusgatan,1,0,25,0.7224999999999999,278.12589,11664.7300854,4619.5936659,4619.5936659,0.03756039776174133,0.014875078490328802,0.014875078490328802,60.396909040509634,7045.136419500001,3662.88,10708.0164195,3662.88,0.0,0.0,0.0,310559.28,43.610926712607004,43.610926712607004,48.69657405860346,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,100.0,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,100.0,yom1_ic0_0_ec0_0_eaTrue,-1,0.0,0.0,True
1,On,Import 0.0 and export 0.0,SE3,041. Siriusgatan,1,150,25,0.7224999999999999,278.12589,11664.7300854,4619.5936659,3962.0274810248175,0.03756039776174133,0.014875078490328802,0.01275771724169639,66.034126361965,7045.136419500001,12633.036375060437,19678.172794560436,4686.304188,0.0,4.76246420697542,3.0574171794179414,310559.28,43.610926712607004,43.65938517232495,48.75068345618566,82.79994942266669,11.361566484517304,14.389799635701275,1.0163899224589317,0,3.4425100723305606,60000,60000,400,0,0,7289.166002185254,57.69924019672097,37.09562807284785,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,74.24863387978142,yom1_ic0_0_ec0_0_eaTrue,-1,0.0,0.0,True
2,Off,Import 0.0 and export 0.0,SE3,041. Siriusgatan,1,0,25,0.7224999999999999,278.12589,11664.7300854,4619.5936659,4619.5936659,0.03756039776174133,0.014875078490328802,0.014875078490328802,60.396909040509634,7045.136419500001,3662.88,10708.0164195,3662.88,0.0,0.0,0.0,310559.28,43.610926712607004,43.610926712607004,48.69657405860346,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,100.0,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,100.0,yom1_ic0_0_ec0_0_eaFalse,-1,0.0,0.0,False
3,Off,Import 0.0 and export 0.0,SE3,041. Siriusgatan,1,150,25,0.7224999999999999,278.12589,11664.7300854,4619.5936659,3212.700176194967,0.03756039776174133,0.014875078490328802,0.010344885447296783,72.45799814762881,7045.136419500001,6137.013489705033,13182.149909205033,4730.12,0.0,9.803527996568825,4.5640797575539125,310559.28,43.610926712607004,45.479330415521304,50.78285990824658,339.49231854255333,27.60701275045537,23.668032786885245,0.12051354634573849,0,132.73221237116343,60000,60000,400,0,0,0.0,0.0,77.07527460930099,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,48.72495446265938,yom1_ic0_0_ec0_0_eaFalse,-1,0.0,0.0,False
4,On,Import 5000.0 and export 0.0,SE3,041. Siriusgatan,1,0,25,0.7224999999999999,278.12589,11664.7300854,4619.5936659,4619.5936659,0.03756039776174133,0.014875078490328802,0.014875078490328802,60.396909040509634,7045.136419500001,3662.88,10708.0164195,3662.88,0.0,0.0,0.0,310559.28,43.610926712607004,43.610926712607004,48.69657405860346,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,100.0,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,100.0,yom1_ic5000_0_ec0_0_eaTrue,-1,5000.0,0.0,True
5,On,Import 5000.0 and export 0.0,SE3,041. Siriusgatan,1,150,25,0.7224999999999999,278.12589,11664.7300854,4619.5936659,4558.943597799166,0.03756039776174133,0.014875078490328802,0.014679785443214468,60.916853073991774,7045.136419500001,9448.187521805346,16493.32394130535,4436.381420000001,0.0,6.36782276206852,3.647802212322411,310559.28,43.610926712607004,52.55036482730445,58.67847637091606,173.59015735473332,16.780510018214937,15.289162112932605,0.3628541950297284,0,635.061575005518,60000,60000,400,0,0,4951.156033704513,52.40323630619953,46.95484091272887,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,67.93032786885246,yom1_ic5000_0_ec0_0_eaTrue,-1,5000.0,0.0,True
6,Off,Import 5000.0 and export 0.0,SE3,041. Siriusgatan,1,0,25,0.7224999999999999,278.12589,11664.7300854,4619.5936659,4619.5936659,0.03756039776174133,0.014875078490328802,0.014875078490328802,60.396909040509634,7045.136419500001,3662.88,10708.0164195,3662.88,0.0,0.0,0.0,310559.28,43.610926712607004,43.610926712607004,48.69657405860346,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,100.0,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,100.0,yom1_ic5000_0_ec0_0_eaFalse,-1,5000.0,0.0,False
7,Off,Import 5000.0 and export 0.0,SE3,041. Siriusgatan,1,150,25,0.7224999999999999,278.12589,11664.7300854,4619.5936659,4650.738005567112,0.03756039776174133,0.014875078490328802,0.014975363175645923,60.12991323829992,7045.136419500001,4324.435804332888,11369.572223832889,4355.5801440000005,0.0,13.912655033833978,5.29170160294398,310559.28,43.610926712607004,52.69145824834794,58.836023269020366,161.36910658879998,24.294171220400727,22.404371584699454,0.17865608007825998,0,645.0849130544137,60000,60000,400,0,0,0.0,0.0,100.72019428837183,2024-01-01 00:00:00,2024-12-31 23:00:00,2024-01-01 00:00:00 to 2024-12-31 23:00:00,1.0027397260273974,53.30145719489982,yom1_ic5000_0_ec0_0_eaFalse,-1,5000.0,0.0,False
8,On,Import 0.0 and export 0.0,SE3,041. Siriusgatan,1,0,25,0.7224999999999999,278.12158,18499.7609539125,8033.2321476625,8033.2321476625,0.05970690230363341,0.02592678944434974,0.02592678944434974,56.576562434102385,10466.52880625,3662.88,14129.408806250001,3662.88,0.0,0.0,0.0,309842.92,43.71036459377545,43.71036459377545,48.69577901865795,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,100.0,2025-01-01 00:00:00,2025-12-31 23:00:00,2025-01-01 00:00:00 to 2025-12-31 23:00:00,1.0,100.0,yo0_ic0_0_ec0_0_eaTrue,0,0.0,0.0,True
9,On,Import 0.0 and export 0.0,SE3,041. Siriusgatan,1,150,25,0.7224999999999999,278.12158,18499.7609539125,8033.2321476625,5745.914191229752,0.05970690230363341,0.02592678944434974,0.018544603798691776,68.94060304052442,10466.52880625,10843.87989009975,21310.408696349747,4693.302376000001,0.0,5.533074933334408,2.815525542233143,309842.92,43.71036459377545,45.371466946880695,50.54633949478138,204.35353798239998,22.21461187214612,19.73744292237443,0.35369854913505294,0,117.73323380176862,60000,60000,400,0,0,3863.259557667001,35.62617436581976,43.28065621867403,2025-01-01 00:00:00,2025-12-31 23:00:00,2025-01-01 00:00:00 to 2025-12-31 23:00:00,1.0,58.04794520547946,yo0_ic0_0_ec0_0_eaTrue,0,0.0,0.0,True
10,Off,Import 0.0 and export 0.0,SE3,041. Siriusgatan,1,0,25,0.7224999999999999,278.12158,18499.7609539125,8033.2321476625,8033.2321476625,0.05970690230363341,0.02592678944434974,0.02592678944434974,56.576562434102385,10466.52880625,3662.88,14129.408806250001,3662.88,0.0,0.0,0.0,309842.92,43.71036459377545,43.71036459377545,48.69577901865795,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,100.0,2025-01-01 00:00:00,2025-12-31 23:00:00,2025-01-01 00:00:00 to 2025-12-31 23:00:00,1.0,100.0,yo0_ic0_0_ec0_0_eaFalse,0,0.0,0.0,False
11,Off,Import 0.0 and export 0.0,SE3,041. Siriusgatan,1,150,25,0.7224999999999999,278.12158,18499.7609539125,8033.2321476625,4991.477019896791,0.05970690230363341,0.02592678944434974,0.01610970171562026,73.01869449917868,10466.52880625,7788.66747976571,18255.19628601571,4746.912352,0.0,7.703500008939251,3.2867354072748403,309842.92,43.71036459377545,46.90798346802955,52.25810441982244,383.9602969848,27.694063926940636,22.248858447488583,0.13523390379906985,0,226.63625141927278,60000,60000,400,0,0,0.0,0.0,60.94639891010974,2025-01-01 00:00:00,2025-12-31 23:00:00,2025-01-01 00:00:00 to 2025-12-31 23:00:00,1.0,50.05707762557078,yo0_ic0_0_ec0_0_eaFalse,0,0.0,0.0,False
12,On,Import 5000.0 and export 0.0,SE3,041. Siriusgatan,1,0,25,0.7224999999999999,278.12158,18499.7609539125,8033.2321476625,8033.2321476625,0.05970690230363341,0.02592678944434974,0.02592678944434974,56.576562434102385,10466.52880625,3662.88,14129.408806250001,3662.88,0.0,0.0,0.0,309842.92,43.71036459377545,43.71036459377545,48.69577901865795,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,100.0,2025-01-01 00:00:00,2025-12-31 23:00:00,2025-01-01 00:00:00 to 2025-12-31 23:00:00,1.0,100.0,yo0_ic5000_0_ec0_0_eaTrue,0,5000.0,0.0,True
13,On,Import 5000.0 and export 0.0,SE3,041. Siriusgatan,1,150,25,0.7224999999999999,278.12158,18499.7609539125,8033.2321476625,7319.421200314637,0.05970690230363341,0.02592678944434974,0.023623006135865997,60.43504984443241,10466.52880625,8646.441537524737,19112.970343774738,4430.491476,0.0,6.939270882663774,3.1392294824306326,309842.92,43.71036459377545,52.75714812751894,58.7743994072772,169.69654552960665,19.828767123287673,14.121004566210047,0.33966514670142195,0,641.2049678583112,60000,60000,400,0,0,3502.1391141768745,40.50381997007581,51.24063415882808,2025-01-01 00:00:00,2025-12-31 23:00:00,2025-01-01 00:00:00 to 2025-12-31 23:00:00,1.0,66.05022831050228,yo0_ic5000_0_ec0_0_eaTrue,0,5000.0,0.0,True
14,Off,Import 5000.0 and export 0.0,SE3,041. Siriusgatan,1,0,25,0.7224999999999999,278.12158,18499.7609539125,8033.2321476625,8033.2321476625,0.05970690230363341,0.02592678944434974,0.02592678944434974,56.576562434102385,10466.52880625,3662.88,14129.408806250001,3662.88,0.0,0.0,0.0,309842.92,43.71036459377545,43.71036459377545,48.69577901865795,,0.0,0.0,0.0,0,0.0,0,0,400,0,0,0.0,0.0,100.0,2025-01-01 00:00:00,2025-12-31 23:00:00,2025-01-01 00:00:00 to 2025-12-31 23:00:00,1.0,100.0,yo0_ic5000_0_ec0_0_eaFalse,0,5000.0,0.0,False
15,Off,Import 5000.0 and export 0.0,SE3,041. Siriusgatan,1,150,25,0.7224999999999999,278.12158,18499.7609539125,8033.2321476625,7347.927832310808,0.05970690230363341,0.02592678944434974,0.02371500963233502,60.280957950665844,10466.52880625,5050.864315351692,15517.393121601694,4365.56,0.0,11.879154982966948,3.866628855105454,309842.92,43.71036459377545,52.822823598199385,58.84756553702522,161.32736735186666,29.805936073059357,21.746575342465754,0.20872111980584968,0,645.8598198186423,60000,60000,400,0,0,0.0,0.0,86.431939712402,2025-01-01 00:00:00,2025-12-31 23:00:00,2025-01-01 00:00:00 to 2025-12-31 23:00:00,1.0,48.44748858447488,yo0_ic5000_0_ec0_0_eaFalse,0,5000.0,0.0,False
